TpsAltruisticFromLsfGain + IndividualEstimated_INR + -10.0,TpsRandomic + IndividualEstimated_INR + -10.0,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -12.5,TpsRandomic + IndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -15.0,TpsRandomic + IndividualEstimated_INR + -15.0,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -10.0,TpsRandomic + CumulativeIndividualEstimated_INR + -10.0,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -12.5,TpsRandomic + CumulativeIndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -15.0,TpsRandomic + CumulativeIndividualEstimated_INR + -15.0
15,12,13,13,13,9,14,10,13,10,13,8
15,15,14,13,14,10,14,11,14,10,13,11
13,10,12,8,11,9,11,8,11,7,10,6
15,11,15,8,12,7,14,9,12,9,12,8
15,8,15,10,15,9,13,6,11,8,9,4
14,12,14,11,14,8,14,11,13,8,12,6
14,12,13,9,13,8,13,9,12,9,11,7
15,13,15,10,14,6,14,8,13,8,11,8
15,14,15,14,15,12,15,11,15,10,14,8
15,12,14,11,14,10,14,10,14,7,11,7
14,8,12,8,12,7,12,10,12,6,11,6
13,10,12,7,10,6,11,7,9,7,8,5
15,12,14,9,14,9,14,9,14,9,13,9
15,13,15,12,14,11,15,11,14,7,13,7
15,14,14,10,14,11,14,11,14,9,13,8
15,10,15,10,14,5,14,8,12,9,10,7
15,12,15,10,15,8,15,9,13,6,12,8
14,10,14,8,13,9,14,8,12,7,11,8
14,10,13,11,12,10,13,11,12,9,12,9
14,11,14,7,11,6,12,8,11,7,10,8
14,8,12,8,12,6,12,6,11,5,9,6
13,11,13,10,11,9,12,10,11,8,10,5
15,13,13,11,13,10,14,10,13,11,12,5
15,12,14,10,14,10,15,10,14,10,13,10
14,12,13,10,13,11,14,10,13,6,13,6
15,12,15,10,13,10,15,10,14,7,13,7
12,9,12,7,12,7,12,8,10,5,9,3
15,13,14,9,14,6,14,10,13,7,11,4
15,9,14,9,14,10,14,9,13,7,11,8
15,11,15,11,14,9,14,10,13,7,12,9
14,9,14,9,14,8,14,10,14,10,13,5
12,10,12,6,10,7,11,6,10,6,9,5
13,8,12,6,11,8,11,6,10,6,8,3
15,11,15,11,14,5,14,8,13,6,11,4
15,12,14,12,14,12,14,12,14,9,13,9
15,10,15,10,15,11,14,9,12,8,10,5
15,12,14,10,14,11,14,11,13,11,13,10
15,13,14,13,13,10,14,10,13,10,13,8
15,12,14,10,12,5,13,9,12,5,12,8
15,15,15,13,15,10,15,11,15,9,14,6
15,13,15,11,15,11,15,10,15,9,13,9
13,10,12,8,11,7,12,7,10,6,9,5
14,11,13,9,13,11,13,7,11,5,9,3
13,11,13,9,13,10,13,9,13,9,12,5
15,13,14,11,14,10,14,12,14,10,13,10
15,11,15,11,14,10,14,9,13,7,11,7
14,10,14,9,14,9,14,8,12,8,11,6
15,13,15,13,15,11,15,11,14,10,12,5
14,13,14,9,14,8,14,10,13,9,12,7
15,12,14,11,14,8,14,7,13,6,11,5
15,11,15,11,15,11,15,11,14,6,13,7
15,11,13,9,12,10,13,9,12,7,11,5
14,10,14,11,14,9,14,10,14,9,13,11
14,9,13,10,13,7,13,9,13,7,12,8
15,12,15,13,15,7,15,9,13,7,11,4
12,8,12,9,12,7,12,6,11,7,10,5
15,12,13,9,13,7,13,10,12,10,11,7
15,13,15,12,15,11,15,10,15,10,14,8
15,13,15,10,15,10,15,11,13,6,11,5
15,10,14,10,13,10,13,8,12,7,10,5
15,12,14,12,13,9,14,9,12,9,11,6
12,8,12,11,12,7,12,7,11,6,10,4
15,12,14,11,14,10,14,9,14,7,13,8
15,13,14,12,14,10,14,11,14,11,14,6
15,10,15,8,13,7,13,8,12,6,11,5
15,9,14,10,11,8,12,6,11,9,9,8
14,11,14,9,14,10,14,9,13,8,12,6
15,12,14,12,13,11,14,11,13,10,13,10
15,13,14,12,14,9,14,9,13,8,12,7
15,15,15,13,15,12,15,13,15,10,15,10
15,12,15,11,13,9,14,8,13,7,12,5
13,8,12,7,11,8,11,8,10,6,9,5
13,10,12,9,12,10,13,12,12,8,12,7
15,13,15,8,15,8,15,11,15,7,13,7
15,13,15,14,14,8,15,13,14,11,13,7
15,13,15,12,15,10,15,9,15,8,13,8
15,15,15,11,13,11,14,9,13,7,12,5
15,14,15,11,15,11,15,11,15,7,13,8
14,12,14,12,13,10,14,10,13,8,12,6
14,11,14,7,14,9,14,9,14,8,12,7
15,13,15,13,15,9,15,11,14,10,13,7
14,10,14,8,14,9,14,9,13,9,11,6
13,10,13,9,11,8,12,7,11,7,11,5
13,10,11,10,11,10,12,10,11,7,11,9
15,10,15,9,15,9,14,8,12,5,10,6
14,10,14,11,12,9,13,9,11,9,10,5
14,9,14,9,12,6,13,7,11,7,10,5
14,9,12,6,12,8,12,9,11,6,9,5
15,13,15,13,15,10,15,9,15,9,14,10
15,10,15,13,15,11,15,11,14,7,12,7
14,8,14,10,12,9,13,8,12,5,11,6
13,12,13,11,13,8,13,10,13,10,12,9
14,8,13,9,13,6,13,10,12,8,10,5
15,11,14,7,13,8,13,8,12,7,11,5
14,11,14,11,12,6,13,6,12,5,10,5
13,9,12,9,12,10,12,12,12,9,11,9
14,10,13,9,13,9,13,8,12,8,10,5
15,10,15,12,12,10,14,11,12,9,12,5
15,13,15,11,15,13,15,12,14,11,13,8
14,11,14,11,13,8,14,10,13,7,11,7
