TpsAltruisticFromLsfGain + IndividualEstimated_INR + -10.0,TpsRandomic + IndividualEstimated_INR + -10.0,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -12.5,TpsRandomic + IndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + IndividualEstimated_INR + -15.0,TpsRandomic + IndividualEstimated_INR + -15.0,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -10.0,TpsRandomic + CumulativeIndividualEstimated_INR + -10.0,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -12.5,TpsRandomic + CumulativeIndividualEstimated_INR + -12.5,TpsAltruisticFromLsfGain + CumulativeIndividualEstimated_INR + -15.0,TpsRandomic + CumulativeIndividualEstimated_INR + -15.0
"[6.67775976e-05 5.33593070e-04 2.85471338e-05 3.72952710e-03
 2.70393952e-05 1.49642757e-03 6.56588243e-03 6.99362239e-03
 6.79444330e-03 6.71614601e-03 4.85336116e-03 1.15719042e-03
 1.24795490e-03 8.31740217e-06 5.72560298e-03]","[0.01073118 0.01604732 0.00257828 0.01764566 0.00215859 0.01255945
 0.01769187 0.         0.         0.         0.         0.
 0.00564946 0.00995707 0.01656527]","[2.76726761e-04 4.55441692e-03 3.33894651e-05 2.68972431e-03
 8.24385072e-06 3.12359960e-03 6.79413744e-03 7.16138839e-03
 7.26018865e-03 6.93557930e-03 6.55438985e-03 5.84378223e-03
 1.41952851e-03 4.66008195e-06 3.80741364e-03]","[0.01495994 0.00683367 0.01555677 0.02845808 0.         0.02803133
 0.         0.         0.         0.         0.         0.
 0.02245652 0.01431023 0.01340495]","[3.98412966e-03 6.07617536e-03 2.25313474e-05 3.51838250e-03
 1.20946221e-03 1.60887358e-03 8.21807865e-03 8.47177980e-03
 7.50930907e-03 0.00000000e+00 8.17170910e-03 8.00447545e-03
 1.07113354e-03 1.03421011e-03 2.47443116e-03]","[0.01883852 0.         0.00895279 0.03612748 0.         0.0318497
 0.         0.         0.         0.         0.03264951 0.029579
 0.         0.01288024 0.        ]","[0.00057357 0.00823412 0.00033835 0.0031436  0.00484551 0.00155664
 0.00840845 0.00826125 0.00781876 0.         0.00460889 0.00480484
 0.00537399 0.00581576 0.00216268]","[0.0221792  0.00475365 0.00564824 0.02155495 0.01185111 0.01697217
 0.         0.         0.         0.         0.01956028 0.
 0.00899404 0.         0.02101536]","[5.66449188e-04 2.86201103e-03 7.47394750e-05 5.41231601e-03
 1.76547132e-03 3.43799023e-03 9.97515212e-03 9.67140182e-03
 5.57217421e-03 0.00000000e+00 0.00000000e+00 9.08329030e-03
 2.84811274e-04 9.46075266e-05 9.86377274e-03]","[0.0116293  0.0170931  0.00253767 0.         0.         0.02421765
 0.02905973 0.         0.         0.         0.         0.
 0.01339486 0.01678714 0.01170226]","[0.003773   0.00401046 0.00046023 0.01085956 0.00958131 0.001837
 0.         0.01182592 0.01155712 0.         0.         0.01115284
 0.00227943 0.00084007 0.01019847]","[0.         0.         0.03421616 0.         0.         0.04323985
 0.         0.         0.0556552  0.         0.         0.
 0.03604881 0.02107269 0.0498601 ]"
"[0.00780215 0.00680704 0.00013148 0.0058613  0.00591419 0.00141667
 0.         0.00872727 0.         0.00757911 0.01122615 0.
 0.0059769  0.00941892 0.00105856]","[0.         0.         0.02866012 0.         0.02126124 0.0063241
 0.         0.02597419 0.         0.0123656  0.         0.
 0.02073855 0.0281482  0.01280297]","[0.01718988 0.01526926 0.00466238 0.         0.00892588 0.00500317
 0.         0.01709434 0.         0.01204015 0.         0.
 0.01071645 0.01571031 0.01360847]","[0.         0.01502962 0.02175839 0.         0.00469968 0.00353946
 0.         0.01572199 0.         0.         0.         0.
 0.02112469 0.02343111 0.01587698]","[0.0149107  0.00885128 0.00287766 0.         0.01390033 0.003571
 0.         0.         0.         0.01433649 0.         0.
 0.01854497 0.02201554 0.00345627]","[0.         0.         0.0073995  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.20222422 0.12035908]","[0.01673901 0.01326579 0.00168726 0.         0.00708025 0.00312822
 0.         0.01384663 0.         0.01473875 0.         0.
 0.01608697 0.01723926 0.01513826]","[0.         0.         0.00171131 0.         0.         0.00443579
 0.         0.         0.         0.03135348 0.         0.
 0.         0.08678475 0.03984856]","[0.01266591 0.01836215 0.00291924 0.         0.01699345 0.00434346
 0.         0.         0.         0.01321847 0.         0.
 0.01915091 0.02035451 0.00664571]","[0.01516747 0.         0.00661333 0.         0.         0.
 0.         0.         0.         0.02666026 0.         0.
 0.         0.08700277 0.00970747]","[0.02365852 0.01385658 0.00195014 0.         0.         0.00511494
 0.         0.         0.         0.00968214 0.         0.
 0.02904893 0.0197765  0.01169484]","[0.         0.         0.01571649 0.         0.         0.00221336
 0.         0.         0.         0.         0.         0.
 0.         0.07794211 0.01501303]"
"[3.19608276e-03 1.22799692e-03 1.85964496e-03 7.01246898e-03
 7.31632333e-03 8.48209359e-03 1.34042659e-03 4.76653858e-04
 6.75401851e-04 3.08752935e-05 6.26697498e-03 2.71556671e-03
 2.02568642e-03 0.00000000e+00 6.68787869e-03]","[0.00933394 0.01376957 0.01084468 0.01097614 0.         0.01175468
 0.01148596 0.00284699 0.01408921 0.00031581 0.00974826 0.
 0.         0.         0.01184756]","[0.00478608 0.00831822 0.00156527 0.00542908 0.00842621 0.00094949
 0.00070457 0.00070933 0.00071399 0.00301537 0.00728958 0.00844092
 0.0017118  0.         0.00493644]","[0.00341079 0.01028253 0.01125535 0.00974551 0.         0.00503152
 0.01181317 0.00154927 0.00843608 0.00145343 0.00772481 0.
 0.0046179  0.         0.00999461]","[0.0028368  0.00651892 0.00318314 0.01150424 0.         0.00542177
 0.00514501 0.0006     0.00247809 0.00049799 0.01183219 0.
 0.0039352  0.         0.00680089]","[0.         0.01874877 0.01107777 0.02007257 0.         0.01806768
 0.00606315 0.00461484 0.00427658 0.00178582 0.02217356 0.
 0.         0.         0.        ]","[3.40658450e-04 8.49962271e-03 9.81459582e-03 6.21658225e-03
 0.00000000e+00 4.55767141e-03 3.24946314e-04 2.52350015e-04
 1.39729298e-03 7.22818610e-05 9.12915925e-03 2.34326659e-03
 8.66345203e-03 0.00000000e+00 9.82884580e-03]","[0.00714148 0.01426295 0.01302284 0.01119935 0.         0.0142532
 0.013674   0.01197276 0.01378837 0.01409869 0.01327639 0.
 0.0073808  0.         0.        ]","[0.00611318 0.01150459 0.01143064 0.00742909 0.         0.00450971
 0.00176539 0.00044725 0.00794895 0.00032373 0.01170704 0.
 0.00743634 0.         0.01153759]","[0.0208565  0.01803317 0.         0.01608704 0.         0.02102763
 0.         0.02026813 0.01340932 0.01156153 0.02175013 0.
 0.02045222 0.         0.        ]","[0.00982184 0.00333374 0.01079706 0.01131867 0.         0.00893325
 0.00294005 0.00043598 0.00177052 0.00037807 0.0109984  0.
 0.01048654 0.         0.00356977]","[0.02407647 0.01235863 0.         0.02882044 0.         0.02628081
 0.02169966 0.00476198 0.         0.01324802 0.01523024 0.
 0.         0.         0.        ]"
"[8.14165577e-03 8.50937461e-03 1.79944734e-04 1.53703300e-04
 0.00000000e+00 5.41948110e-03 1.82350430e-04 4.63837537e-06
 3.05908350e-03 8.45685230e-03 9.50705534e-06 1.72999048e-03
 1.35258768e-04 1.32794236e-03 2.26118437e-03]","[0.01762428 0.         0.01213509 0.01368355 0.         0.01623387
 0.01769728 0.00019407 0.01508421 0.         0.00865321 0.
 0.01178569 0.         0.01758644]","[7.75471613e-03 8.50788867e-03 7.64264022e-04 1.00267418e-03
 0.00000000e+00 7.29706184e-03 2.85646422e-04 3.99572945e-06
 2.82484400e-03 8.14800433e-03 4.74277899e-05 9.03428767e-04
 8.01117147e-05 3.89659371e-03 6.16471314e-03]","[0.01304609 0.0142722  0.         0.00402938 0.         0.0067482
 0.01137119 0.00140013 0.01095973 0.         0.00011603 0.
 0.01408372 0.0013909  0.00451055]","[7.75191150e-03 8.51044473e-03 3.74019154e-04 9.93502575e-04
 0.00000000e+00 7.03553506e-03 2.65697476e-04 9.51029262e-07
 6.82776452e-03 8.30506979e-03 6.17953610e-05 9.00151444e-04
 2.68149924e-04 2.40301961e-03 6.14697131e-03]","[0.01536084 0.         0.01106195 0.01729381 0.         0.01586971
 0.01769841 0.01066049 0.01716457 0.         0.00121532 0.00985954
 0.         0.         0.01769732]","[8.40390835e-03 8.51065703e-03 6.23672390e-04 2.40930578e-04
 0.00000000e+00 7.14309085e-03 1.03233747e-03 8.21134603e-06
 2.10819694e-03 8.50278317e-03 6.33014824e-05 4.04389926e-03
 3.33058354e-04 3.43529300e-03 3.10074888e-03]","[0.01322251 0.01433355 0.00754748 0.00834849 0.         0.01300428
 0.01260303 0.00939416 0.00764131 0.01432089 0.00021981 0.
 0.         0.         0.0141838 ]","[7.28508671e-03 8.41674872e-03 2.38622244e-04 1.40213941e-03
 0.00000000e+00 6.49942269e-03 1.32728880e-03 1.11338508e-06
 6.65813400e-03 8.45228752e-03 6.92564758e-04 5.48170072e-04
 3.04815548e-06 1.68524442e-03 6.76728215e-03]","[0.02261915 0.         0.         0.02873111 0.         0.
 0.02914392 0.00422878 0.01314778 0.         0.00189952 0.0176514
 0.         0.         0.02803868]","[9.78277827e-03 9.97620504e-03 6.27910291e-03 3.40773758e-04
 0.00000000e+00 7.69375700e-03 5.07434922e-03 4.78963253e-05
 8.73865385e-03 0.00000000e+00 8.20346753e-05 6.09400946e-03
 5.63721296e-03 1.43812088e-03 8.31665306e-03]","[0.02507901 0.         0.         0.0093427  0.         0.02644901
 0.         0.01918996 0.02013122 0.         0.00321219 0.01400506
 0.         0.02566066 0.        ]"
"[1.37578864e-08 2.03227085e-04 3.37945267e-05 9.67830577e-03
 5.87559817e-03 0.00000000e+00 9.91285172e-03 0.00000000e+00
 3.31898567e-04 9.92446109e-03 5.49099896e-03 5.01465845e-03
 9.95683576e-03 9.32250069e-03 7.14865574e-03]","[0.00680877 0.01420402 0.01161504 0.         0.0130316  0.
 0.01378821 0.         0.         0.01425143 0.0133397  0.01275444
 0.01435345 0.00617124 0.01323687]","[6.67732216e-08 7.79435223e-05 4.01387202e-05 9.66680008e-03
 7.02869949e-03 0.00000000e+00 9.55639894e-03 0.00000000e+00
 6.48927324e-05 6.30044773e-03 6.82613107e-03 9.15121247e-03
 9.97846122e-03 8.40830937e-03 7.48580015e-03]","[0.01089659 0.02793395 0.02413615 0.         0.         0.
 0.         0.         0.         0.02910437 0.00889323 0.
 0.02908445 0.02387038 0.01541418]","[5.02483178e-07 3.02191488e-03 1.78878714e-03 1.16663823e-02
 7.94365259e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.58431186e-03 8.90865592e-03 8.62287010e-03 5.57990123e-03
 1.18674307e-02 8.40676805e-03 2.89187093e-03]","[0.00753949 0.         0.01028246 0.03935694 0.         0.
 0.         0.         0.         0.         0.02763598 0.03440716
 0.03945116 0.         0.03122621]","[2.38116735e-08 2.36568412e-03 6.71547558e-05 9.88944929e-03
 9.56660572e-03 0.00000000e+00 9.24734049e-03 0.00000000e+00
 8.91489238e-05 2.73365493e-03 5.70090383e-03 7.53396639e-03
 9.96832429e-03 9.93690142e-03 8.32747692e-03]","[0.026946   0.01818744 0.01218744 0.         0.00635075 0.
 0.         0.         0.02957793 0.         0.02223955 0.
 0.         0.         0.02171174]","[1.81072457e-05 1.38549084e-02 2.03139297e-03 1.42569896e-02
 1.41331562e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.80805238e-03 1.34037836e-02 7.74237807e-03 7.36984379e-03
 0.00000000e+00 1.34302134e-02 1.37640995e-02]","[0.02616013 0.         0.02460952 0.01053231 0.00299566 0.
 0.         0.         0.00484187 0.02011585 0.00691292 0.
 0.         0.         0.02660367]","[0.00212256 0.0161282  0.00541935 0.0173759  0.005868   0.
 0.         0.         0.         0.01676796 0.01597236 0.00977637
 0.         0.0172804  0.01627333]","[0.01100981 0.         0.         0.1074441  0.         0.
 0.         0.         0.         0.         0.15175721 0.
 0.         0.         0.10235162]"
"[5.01945422e-03 4.90935030e-03 7.94983512e-04 2.24519106e-03
 5.43570185e-03 1.88624139e-03 7.16618497e-03 6.34175320e-03
 2.19090119e-03 2.53152228e-04 2.64091533e-06 6.13096555e-03
 1.97261919e-03 3.67939052e-03 5.50521999e-03]","[0.01592189 0.02206222 0.         0.02211817 0.         0.
 0.01538259 0.         0.00952395 0.00647551 0.         0.02072128
 0.02130213 0.         0.02060017]","[0.00729373 0.00443229 0.00060708 0.00683995 0.00439458 0.00104968
 0.00336564 0.00529989 0.00508144 0.00010147 0.00018027 0.00581916
 0.00157327 0.00711305 0.00448209]","[0.01462996 0.01726956 0.         0.01761537 0.         0.01622789
 0.01462932 0.01707084 0.01692288 0.00820095 0.         0.
 0.01593692 0.         0.00726821]","[5.66178388e-03 3.98318912e-03 8.89750198e-05 6.31291322e-03
 3.93726395e-03 1.55910322e-03 3.60784210e-04 1.46435980e-03
 4.29053596e-03 3.55026499e-04 4.11693484e-06 5.49491788e-03
 2.62748752e-04 6.85218438e-03 4.02810722e-03]","[0.02222197 0.         0.         0.01804315 0.02208067 0.
 0.0161131  0.02046081 0.02058093 0.01661558 0.         0.01871453
 0.01996639 0.         0.        ]","[6.93375132e-03 6.75711101e-03 1.98063537e-04 7.26274412e-03
 6.92821240e-03 3.66551971e-03 1.21639681e-03 5.56849693e-03
 7.14035593e-03 9.94472215e-04 2.07042118e-05 7.09710136e-03
 5.68210141e-04 7.30702058e-03 6.94725315e-03]","[0.02686042 0.         0.01571818 0.02631554 0.02877879 0.
 0.02584646 0.         0.00722168 0.00355507 0.         0.
 0.02592776 0.         0.        ]","[0.         0.0091111  0.00220767 0.01040192 0.         0.00885045
 0.00238878 0.00921936 0.00945573 0.00047191 0.         0.01097507
 0.01067954 0.01134279 0.00532138]","[0.         0.01887925 0.         0.02644658 0.         0.0266368
 0.01827416 0.         0.02008848 0.01408503 0.00151145 0.
 0.0251091  0.         0.        ]","[0.         0.01660933 0.         0.01692407 0.         0.01644128
 0.00544676 0.         0.01096149 0.00351512 0.         0.01727464
 0.01740569 0.01578853 0.01713386]","[0.         0.         0.         0.         0.         0.05666483
 0.04186461 0.         0.         0.00380507 0.         0.
 0.0603097  0.08212292 0.        ]"
"[6.09815168e-07 2.14598399e-03 5.51592390e-03 7.06435821e-03
 1.68903317e-03 3.05853834e-03 5.49014667e-04 3.62583576e-03
 2.00094801e-04 3.19302311e-03 1.22653489e-05 2.13114160e-04
 5.09074830e-07 7.08007658e-03 1.87230291e-05]","[2.68375208e-06 5.57928117e-04 6.03273011e-03 8.44428762e-03
 1.74790934e-03 8.32369043e-03 5.62749473e-03 6.21015447e-03
 7.75370612e-05 1.95636432e-05 7.36614692e-03 6.78393509e-04
 2.28620870e-05 5.89564897e-03 0.00000000e+00]","[2.02817350e-05 7.71432103e-03 0.00000000e+00 5.54740811e-03
 5.75102273e-04 5.97010335e-03 2.76539247e-03 8.34459065e-03
 2.29317715e-05 3.48495069e-05 7.15889682e-04 2.90842891e-03
 2.71241587e-05 5.46138767e-03 1.09388674e-04]","[0.00036421 0.01123091 0.         0.         0.01765777 0.01287127
 0.         0.01538549 0.00281246 0.01572137 0.01172089 0.
 0.00543742 0.01635807 0.        ]","[0.00012049 0.00945323 0.         0.00794511 0.0087313  0.00317411
 0.         0.00882266 0.00048602 0.00083785 0.0007337  0.00573984
 0.00033761 0.00987815 0.00194482]","[0.00087    0.03724209 0.         0.         0.         0.00607329
 0.         0.         0.00630272 0.03616929 0.03802493 0.
 0.00494111 0.         0.        ]","[1.44481721e-04 4.49296943e-03 0.00000000e+00 9.12248710e-03
 8.63272058e-03 6.18062062e-03 0.00000000e+00 7.85144876e-03
 1.60635069e-04 5.27951345e-05 4.48239634e-03 3.22485728e-03
 4.03077006e-04 8.09476324e-03 3.95988173e-03]","[0.00121653 0.0186131  0.         0.02618018 0.02912726 0.
 0.         0.         0.00279909 0.02908924 0.02807142 0.
 0.02620381 0.         0.        ]","[0.00036006 0.00452889 0.         0.01021964 0.01074657 0.00850663
 0.         0.00763783 0.00140309 0.00219474 0.00464924 0.00851689
 0.00162798 0.00893115 0.        ]","[0.00023412 0.01870617 0.         0.         0.         0.01764409
 0.         0.02191735 0.01061639 0.00593705 0.02209945 0.
 0.01213479 0.02003052 0.        ]","[2.70017954e-05 6.61034565e-03 0.00000000e+00 1.09462492e-02
 1.28043981e-02 1.29497670e-02 0.00000000e+00 1.27288419e-02
 1.07320459e-04 4.28242577e-03 6.11453074e-03 0.00000000e+00
 2.37249432e-03 1.21639486e-02 0.00000000e+00]","[0.00511649 0.04049427 0.         0.         0.         0.
 0.         0.         0.02727706 0.05278716 0.05502831 0.
 0.05221168 0.         0.        ]"
"[0.0082001  0.00741202 0.00151732 0.00015704 0.00827645 0.00292338
 0.00848864 0.00028148 0.0019343  0.00577226 0.00828993 0.
 0.00797357 0.00452584 0.00750162]","[0.         0.01374412 0.01345081 0.00411823 0.01434541 0.01278532
 0.         0.01070817 0.00468648 0.01207789 0.00434186 0.
 0.01347603 0.         0.00975356]","[0.0080527  0.00081555 0.00479243 0.00021833 0.00843613 0.00803285
 0.00821677 0.00211725 0.00072267 0.00387761 0.00818335 0.
 0.00160846 0.00741253 0.00776511]","[0.         0.02066397 0.02195191 0.01191839 0.         0.00295066
 0.         0.01245299 0.00414759 0.01894576 0.         0.
 0.         0.         0.01732899]","[0.00606725 0.00688447 0.00396222 0.00610116 0.00816982 0.0012055
 0.00811963 0.0007681  0.00772454 0.00278938 0.00663128 0.
 0.00768544 0.00698033 0.008503  ]","[0.         0.00167079 0.         0.02332875 0.         0.0056148
 0.         0.         0.00883627 0.03949265 0.         0.
 0.         0.02736088 0.02964724]","[0.00758804 0.0014121  0.00251824 0.00046122 0.00796876 0.00745264
 0.0082796  0.00028879 0.00032453 0.00784381 0.00783998 0.
 0.00258981 0.00585113 0.00815146]","[0.         0.02202598 0.         0.01620384 0.02224795 0.00055364
 0.         0.01833442 0.00182137 0.02236366 0.         0.
 0.         0.0048601  0.02082841]","[0.00455195 0.01048221 0.00639245 0.00333849 0.01186864 0.01144792
 0.         0.00496389 0.00260341 0.01174922 0.01181952 0.
 0.00878259 0.         0.01139747]","[0.         0.01345551 0.02378618 0.00761938 0.         0.
 0.03799665 0.00736975 0.0023158  0.02245673 0.         0.
 0.         0.         0.        ]","[0.00321551 0.0117788  0.01322733 0.00584053 0.01433384 0.00511682
 0.         0.00373842 0.00618669 0.01414745 0.0141852  0.
 0.         0.         0.01307503]","[0.         0.03827089 0.         0.00762744 0.         0.
 0.         0.         0.05569798 0.05640236 0.04908597 0.
 0.         0.         0.04933426]"
"[0.00160578 0.0042324  0.00643737 0.0062107  0.00628066 0.
 0.00412183 0.00211247 0.00134954 0.00049157 0.00498686 0.00358111
 0.00844891 0.00544718 0.00371829]","[0.         0.01725836 0.01204783 0.         0.         0.
 0.0129745  0.01769384 0.00966218 0.00195168 0.0107528  0.012413
 0.01677936 0.         0.01187091]","[5.81998677e-05 1.73094286e-04 3.96289242e-03 9.17301946e-03
 3.84748745e-03 0.00000000e+00 1.46192953e-03 3.83090628e-03
 7.03050761e-03 5.19507012e-04 8.39195926e-03 0.00000000e+00
 9.86353542e-03 9.36423283e-03 1.16943582e-03]","[0.02141597 0.01739983 0.01933071 0.         0.         0.
 0.01826226 0.         0.01051982 0.00390679 0.0221781  0.
 0.01375965 0.         0.02097939]","[1.74437649e-04 5.35485061e-05 9.94980276e-03 6.11429782e-03
 0.00000000e+00 0.00000000e+00 7.80115004e-03 5.96618650e-03
 9.83867903e-03 2.19098366e-04 1.13522711e-02 0.00000000e+00
 1.17782518e-02 4.52427949e-03 6.90272873e-03]","[0.00836844 0.0027094  0.02166877 0.         0.         0.
 0.02102323 0.         0.01517189 0.00121998 0.02181549 0.
 0.02176907 0.         0.00269682]","[1.17761944e-03 6.29242436e-05 1.16062215e-02 8.92637792e-03
 0.00000000e+00 0.00000000e+00 7.41983195e-03 8.46598551e-03
 7.21905887e-03 3.67237138e-03 1.00126386e-02 0.00000000e+00
 1.18586599e-02 9.73282550e-03 7.36423907e-03]","[8.55473315e-03 2.81296657e-05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.58579051e-02 1.88739965e-02
 1.65703721e-02 5.83257914e-04 1.32575928e-02 0.00000000e+00
 2.23053631e-02 0.00000000e+00 1.46593120e-02]","[0.00910858 0.00079207 0.01401059 0.01162398 0.         0.
 0.00331272 0.01228166 0.00479486 0.00025993 0.01037613 0.
 0.01395643 0.         0.01383657]","[0.         0.0024408  0.         0.         0.         0.
 0.05467678 0.         0.05591952 0.0147173  0.         0.
 0.05638201 0.         0.0036842 ]","[0.         0.00109555 0.01618371 0.01733074 0.         0.
 0.01440347 0.01666548 0.01721752 0.00100164 0.01552521 0.
 0.01708758 0.         0.01516051]","[0.         0.00927521 0.         0.03230026 0.         0.
 0.01328084 0.03142058 0.02018261 0.00028545 0.         0.
 0.         0.         0.01104259]"
"[8.49243234e-03 5.33322094e-05 4.14124890e-08 1.11074111e-04
 2.67009941e-03 2.71768796e-04 2.21884301e-04 3.91432720e-03
 6.10349476e-03 8.28975111e-03 0.00000000e+00 8.36817196e-03
 1.13941246e-07 4.37139756e-03 7.98191779e-03]","[0.         0.0083318  0.00713713 0.01133832 0.00842559 0.00229082
 0.00571832 0.01007649 0.         0.01002484 0.         0.
 0.0091762  0.01297528 0.0127422 ]","[6.52635370e-03 2.72099818e-04 3.80086117e-08 3.71138273e-05
 7.65090873e-03 7.23601132e-04 1.07879023e-04 1.87701624e-03
 3.37632023e-03 3.34035359e-03 0.00000000e+00 2.56341068e-03
 5.96792168e-07 4.18919864e-03 7.09102849e-03]","[0.01560598 0.01371017 0.00992415 0.00945545 0.01278411 0.00908764
 0.01015544 0.         0.01368397 0.01766493 0.         0.
 0.01506691 0.         0.        ]","[5.44115332e-03 1.68626633e-03 3.00179419e-09 1.49869289e-04
 1.95953571e-03 1.04951089e-03 2.40989159e-04 8.48814806e-03
 3.58950205e-03 6.45247082e-04 0.00000000e+00 1.60454535e-03
 4.46217136e-06 6.05056641e-04 8.11433739e-03]","[0.         0.0054686  0.00031743 0.01595393 0.01676517 0.02906377
 0.0128421  0.         0.         0.02500734 0.         0.
 0.         0.02455819 0.        ]","[8.26759845e-03 2.57696993e-03 6.69685919e-09 6.57831658e-05
 1.36432995e-03 2.73823591e-04 3.51804087e-04 6.96256724e-03
 7.10588777e-03 3.70686762e-03 0.00000000e+00 6.94789799e-03
 7.84191985e-06 1.24102512e-03 7.64988121e-03]","[0.         0.00342386 0.00866234 0.02018842 0.01484011 0.01643197
 0.01961747 0.01815722 0.         0.02211998 0.         0.01313931
 0.         0.         0.        ]","[5.72240093e-03 1.04926676e-03 1.07596343e-08 1.31641232e-05
 1.31262160e-03 2.01779829e-03 3.56838217e-04 5.32587778e-03
 6.27144977e-03 4.84095607e-03 0.00000000e+00 1.80400175e-03
 2.54027699e-06 1.83213885e-03 5.43397565e-03]","[0.         0.00984279 0.0102483  0.00819703 0.03190869 0.01003606
 0.00847692 0.         0.         0.         0.         0.
 0.         0.02453357 0.        ]","[0.00000000e+00 8.58455352e-03 4.60966899e-07 4.00983865e-03
 1.08643227e-02 4.98725960e-03 1.11129119e-02 2.47898061e-03
 9.29155731e-03 5.85137740e-03 0.00000000e+00 5.61890857e-03
 3.66812948e-04 6.47544258e-03 0.00000000e+00]","[0.         0.00209048 0.01201077 0.01319466 0.         0.00763117
 0.01257955 0.         0.         0.         0.         0.
 0.0085973  0.         0.03725651]"
"[6.79052038e-03 1.69511430e-07 2.45741956e-04 6.89563542e-03
 7.20378404e-03 1.61995416e-03 5.45666256e-03 3.64964122e-03
 7.19520500e-03 1.76046436e-03 4.03444691e-04 7.29378380e-03
 9.64607504e-05 1.14618224e-05 6.99386453e-03]","[9.09535478e-04 6.52377824e-05 8.38677011e-03 8.16214993e-03
 0.00000000e+00 5.98556641e-04 1.10987178e-05 7.01501144e-03
 4.07107984e-04 1.75906437e-03 7.77954453e-03 2.66684423e-04
 8.46773651e-03 9.25375990e-07 1.03034435e-04]","[7.15484720e-03 7.36243463e-08 8.66759928e-04 7.05763856e-03
 2.87039089e-03 2.86615108e-03 1.63951470e-03 2.58029493e-03
 7.24600113e-03 1.74718853e-03 1.12283183e-03 7.23195734e-03
 3.59331997e-04 1.83976871e-05 1.45615292e-03]","[6.09688356e-05 2.06980885e-03 9.14920908e-03 9.82780060e-03
 0.00000000e+00 0.00000000e+00 4.93350498e-04 9.11374985e-03
 9.93734081e-03 9.69176933e-03 7.12043046e-03 9.84490846e-03
 9.90124745e-03 3.74255076e-05 1.82203035e-03]","[8.35380070e-03 3.62620443e-06 4.16252032e-03 8.50700194e-03
 0.00000000e+00 6.53665816e-03 4.61496209e-03 1.32194844e-03
 8.40061220e-03 2.85254328e-03 5.82476291e-03 8.49784120e-03
 6.48724061e-03 7.32792754e-06 8.41094516e-03]","[0.01428908 0.         0.01358455 0.01357338 0.         0.01322709
 0.00862505 0.01062611 0.01357676 0.01411809 0.         0.01423806
 0.         0.0125731  0.00506551]","[7.03127296e-03 5.89816291e-06 3.98544396e-04 6.26706313e-03
 7.17889752e-03 5.21880144e-03 4.69823312e-04 1.51291946e-04
 7.32502866e-03 5.86073488e-03 7.08813666e-04 7.34058249e-03
 1.58512838e-04 4.32972082e-06 6.93331802e-03]","[1.15565415e-02 1.98459782e-03 1.04453907e-02 8.82144758e-03
 0.00000000e+00 0.00000000e+00 1.09654662e-02 1.11572876e-02
 1.15225014e-02 1.06795070e-02 1.11361348e-02 1.18728631e-02
 0.00000000e+00 1.19558142e-05 1.17163505e-02]","[8.20068149e-03 3.12766530e-07 1.92545996e-03 8.24777502e-03
 0.00000000e+00 6.92661439e-03 4.65696392e-03 1.90131193e-03
 8.50280583e-03 7.51181899e-03 7.83205139e-03 8.48412081e-03
 1.84277493e-03 2.23963192e-06 4.93993840e-03]","[1.17235397e-02 7.03061767e-07 7.73452157e-03 1.11466384e-02
 0.00000000e+00 2.54356877e-03 4.39575667e-03 3.57388950e-03
 0.00000000e+00 1.16486019e-02 1.05243122e-02 1.18016414e-02
 0.00000000e+00 1.10740772e-07 9.73050407e-03]","[9.71742061e-03 2.39812327e-05 6.80805871e-03 8.97568106e-03
 0.00000000e+00 2.78450274e-03 6.80379689e-03 2.87952648e-03
 9.94000971e-03 2.22528271e-03 4.83195911e-03 9.96000750e-03
 0.00000000e+00 4.12419546e-04 3.78728093e-03]","[0.         0.00162556 0.0270205  0.         0.         0.
 0.01310276 0.02889576 0.         0.02256887 0.         0.02873445
 0.         0.00955832 0.02898419]"
